,stock_n,year,brand,model,price,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,city_mpg,hw_mpg
90,15326277,2016,Mazda,Mazda3 i Sport,14998.0,41000,Tan,Red,2,2.0,4,155,13:1,Variable Timing,Gas,3.29,3.59,4.0,106.3,175.6,70.0,57.0,2919,42.2,37.6,5,20.0,29,39
91,16250598,2013,Mazda,Mazda3 i Sport,11998.0,48000,Black,Black,2,2.0,4,155,12:1,Dual Overhead Cam,Gas,3.29,3.59,4.0,103.9,180.9,,57.0,2950,42.0,38.9,5,12.0,28,40
92,16250323,2014,Mercedes-Benz,C250 Luxury,20998.0,23000,Tan,White,2,1.8,4,201,9.3:1,Variable Timing DOHC,Turbo Gas,3.23,3.35,4.0,108.7,180.8,69.0,56.0,3428,41.7,37.1,5,12.0,22,31
93,16192565,2015,Mercedes-Benz,C300,25998.0,19000,Tan,Black,2,2.0,4,241,9.8:1,Variable Timing DOHC,Turbo Gas,3.27,3.62,4.0,111.8,184.5,71.0,56.0,3726,41.7,37.1,5,17.0,25,34
94,16212150,2015,Mercedes-Benz,C300,24599.0,22000,Black,Black,2,2.0,4,241,9.8:1,Variable Timing DOHC,Turbo Gas,3.27,3.62,4.0,111.8,184.5,71.0,56.0,3726,41.7,37.1,5,17.0,25,34
95,16238564,2015,Mercedes-Benz,C300,22599.0,35000,Gray,Gray,4,2.0,4,241,9.8:1,Variable Timing DOHC,Turbo Gas,3.27,3.62,4.0,111.8,184.5,71.0,56.0,3594,41.7,37.1,5,17.0,24,31
96,16486143,2018,Mercedes-Benz,C300,47998.0,1000,Tan,White,2,2.0,4,241,9.80,Variable Timing,Turbo Gas,3.27,3.62,4.0,111.8,184.5,71.3,55.5,3638,42.0,38.8,4,8.8,22,29
97,16192572,2016,Mercedes-Benz,CLA250,26998.0,11000,Black,Black,4,2.0,4,208,9.8:1,Variable Timing,Turbo Gas,3.27,3.62,4.0,106.3,182.3,70.0,56.0,3395,40.2,38.2,5,13.0,24,32
98,16238825,2014,Mercedes-Benz,CLA250,23998.0,31000,Black,Black,4,2.0,4,208,9.8:1,Variable Timing DOHC,Turbo Gas,3.27,3.62,4.0,106.3,182.3,70.0,56.0,3264,40.2,38.2,5,13.0,26,38
99,15016668,2014,Mercedes-Benz,E350 Sport,24998.0,55000,Tan,Black,2,3.5,6,302,12:1,Variable Timing DOHC,Ethanol/Gas,3.66,3.39,4.0,113.2,191.7,73.0,57.0,3825,41.3,37.9,5,16.0,20,29
100,16020612,2013,Mercedes-Benz,SLK250,26998.0,35000,Black,Silver,2,1.8,4,201,9.3:1,Dual Overhead Cam,Turbo Gas,3.23,3.35,4.0,95.7,162.8,71.0,51.0,3241,42.5,38.0,2,10.0,22,32
101,16238323,2014,Mitsubishi,Lancer Evolution MR,31998.0,25000,Black,Red,4,2.0,4,291,9.0:1,Variable Timing DOHC,Turbo Gas,3.39,3.39,4.0,104.3,177.0,71.0,58.0,3572,42.5,40.6,5,7.0,17,22
102,16237783,2018,Mitsubishi,Outlander SEL,22998.0,23000,Black,Silver,4,2.4,4,166,10.50,Variable Timing,Gas,3.46,3.82,4.0,105.1,184.8,71.3,67.3,3494,40.9,39.9,7,10.3,24,29
103,16296191,2015,Infiniti,Q70 L,28998.0,41000,Black,Black,4,3.7,6,330,11:1,Variable Timing,Gas,3.76,3.39,4.0,120.1,202.0,72.0,59.0,4156,44.4,39.1,5,15.0,18,24
104,15915306,2017,Nissan,Rogue S,20599.0,24000,Black,White,4,2.5,4,170,10.00,Variable Timing,Gas,3.5,3.94,4.0,106.5,184.5,72.4,66.6,3532,43.0,41.6,7,32.0,25,32
105,16568066,2016,Nissan,Sentra S,12998.0,22000,Black,Gray,2,1.8,4,130,9.9:1,Variable Timing,Gas,3.14,3.55,4.0,106.3,182.1,69.0,58.0,2857,42.5,39.4,5,15.0,29,37
106,16568056,2015,Nissan,Sentra SR,13998.0,39000,Black,Silver,2,1.8,4,130,9.9:1,Variable Timing,Gas,3.14,3.55,4.0,106.3,182.5,69.0,58.0,2857,42.5,39.4,5,15.0,29,39
107,16568099,2015,Nissan,Sentra SV,13599.0,20000,Black,Black,2,1.8,4,130,9.9:1,Variable Timing,Gas,3.14,3.55,4.0,106.3,182.1,69.0,58.0,2847,42.5,39.4,5,15.0,29,39
108,16238683,2017,Nissan,Versa SL,14998.0,6000,Black,Blue,2,1.6,4,109,9.80,Variable Timing,Gas,3.07,3.29,4.0,102.4,175.4,66.7,59.6,2498,41.8,39.8,5,14.9,31,39
109,16238506,2015,Nissan,Versa Note SV,11599.0,63000,Black,Red,2,1.6,4,109,9.8:1,Variable Timing DOHC,Gas,3.07,3.29,4.0,102.4,163.0,66.0,60.0,2482,41.3,40.8,5,19.0,31,40
110,16238662,2016,Scion,FR-S,20599.0,36000,Black,Gray,2,2.0,4,200,13:1,Variable Timing,Gas,3.39,3.39,4.0,101.2,166.7,69.0,50.0,2806,41.9,37.1,4,7.0,21,29
111,16237348,2013,Subaru,BRZ Premium,17998.0,38000,Black,Gray,2,2.0,4,200,13:1,Dual Overhead Cam,Gas,3.38,3.38,4.0,101.2,166.7,69.0,50.0,2762,41.9,37.1,4,7.0,22,30
112,16238669,2015,Toyota,Camry LE,15599.0,38000,Tan,Gold,2,2.5,4,178,10:1,Variable Timing DOHC,Gas,3.54,3.86,4.0,109.3,190.9,71.0,57.0,3190,41.6,38.8,5,15.0,25,35
113,16238827,2016,Toyota,Camry LE,15998.0,29000,Black,Blue,2,2.5,4,178,10:1,Variable Timing,Gas,3.54,3.86,4.0,109.3,190.9,71.0,57.0,3240,41.6,38.8,5,15.0,25,34
114,16250623,2015,Toyota,Camry LE,15998.0,29000,Black,White,2,2.5,4,178,10:1,Variable Timing DOHC,Gas,3.54,3.86,4.0,109.3,190.9,71.0,57.0,3190,41.6,38.8,5,15.0,25,35
