,stock_n,year,brand,model,price
41,14360647,2016,Jeep,Cherokee Latitude,20599.0
42,16004903,2016,Jeep,Cherokee Sport,17998.0
43,16450797,2017,Jeep,Cherokee Sport,17998.0
44,16338842,2012,Jeep,Compass Latitude,12998.0
45,16497552,2015,Jeep,Compass Latitude,16998.0
46,16238152,2016,Jeep,Compass Sport,16998.0
47,16005579,2013,Jeep,Grand Cherokee Limited,21998.0
48,15907923,2015,Jeep,Renegade Sport,15998.0
49,16338925,2016,Jeep,Renegade Sport,16998.0
50,16568235,2018,Jeep,Wrangler Rubicon,35998.0
51,16005434,2013,Jeep,Wrangler Sport,21998.0
52,16238082,2016,Jeep,Wrangler Sport,25998.0
53,16338632,2014,Jeep,Wrangler Unlimited Sahara,31998.0
54,16005500,2017,Kia,Forte LX,13998.0
55,16238153,2017,Kia,Forte LX,12998.0
56,15154033,2015,Kia,K900 Premium,23998.0
57,16250398,2015,Kia,Optima EX,16998.0
58,16327588,2016,Kia,Sorento LX,19998.0
59,16450727,2014,Kia,Soul +,12599.0
60,16338552,2015,Kia,Soul,12998.0
61,16005065,2007,Kia,Spectra EX,6599.0
62,16250518,2017,Kia,Sportage LX,20599.0
63,16327432,2015,Lexus,ES 350,23998.0
64,16450649,2015,Lexus,GS 350,28998.0
65,16450635,2016,Lexus,GX 460,43998.0
66,16004442,2015,Lexus,IS 250,26998.0
67,16139709,2014,Lexus,LX 570,52998.0
68,16005024,2015,Lexus,RX 350,26998.0
69,16005585,2008,Lexus,RX 350,15998.0
70,16250245,2008,Lexus,RX 350,12998.0
71,16250428,2009,Lexus,RX 350,18998.0
72,16338961,2010,Lexus,RX 450h,21998.0
73,16450734,2017,Lincoln,Continental Select,38998.0
74,16359357,2014,Lincoln,MKT,25998.0
75,16568205,2016,Lincoln,Navigator L Select,37998.0
76,16450606,2017,Mazda,CX-3 Sport,19998.0
77,15574754,2015,Mazda,CX-5 Grand Touring,23998.0
78,16171502,2014,Mazda,CX-5 Grand Touring,19998.0
79,15777943,2010,Mazda,Mazda3 S,12998.0
80,16170835,2010,Mazda,Mazda3 S,11998.0
81,16338798,2010,Mazda,Mazda3 S,12998.0
82,15777520,2010,Mazda,Mazda5 Sport,10998.0
83,16004994,2017,Mazda,Mazda6 i Sport,19998.0
84,16425449,2017,Mazda,Mazda6 I Touring,20998.0
85,16005452,2013,Mercedes-Benz,C250 Sport,17998.0
86,16486116,2015,Mercedes-Benz,C250,22998.0
87,16450583,2013,Mercedes-Benz,C350 Sport,20998.0
88,14789186,2012,Mercedes-Benz,E350 Luxury,18998.0
89,15776864,2013,Mercedes-Benz,E350,23998.0
90,16217010,2015,Mitsubishi,Mirage DE,9998.0
91,16171306,2016,Nissan,370Z,24998.0
92,16004720,2015,Nissan,Altima S,13998.0
93,16005046,2013,Nissan,Frontier S,18599.0
94,16327634,2017,Nissan,Frontier SV,24998.0
95,16005139,2015,Nissan,Murano SV,22599.0
96,16338706,2014,Nissan,Quest SV,15998.0
97,16323635,2017,Nissan,Rogue S,20998.0
98,16338427,2013,Nissan,Rogue S,11998.0
99,16568063,2016,Nissan,Rogue S,17998.0
100,15777837,2015,Nissan,Rogue Select S,15599.0
101,16005608,2014,Nissan,Sentra SL,14998.0
102,16338897,2014,Nissan,Sentra SV,11998.0
103,15908992,2015,Nissan,Versa Note S,9998.0
104,16005674,2016,Scion,tC,15998.0
105,16250237,2012,Scion,xB,8998.0
106,16450800,2009,Scion,xB,8998.0
107,16338707,2018,Subaru,Forester 2.0XT Touring,34998.0
108,16257434,2017,Subaru,Impreza 2.0i Premium,17998.0
109,16237517,2016,Subaru,Impreza 2.0i Sport Limited,20998.0
110,16338527,2008,Subaru,Impreza WRX,15998.0
111,16005620,2017,Subaru,Legacy 2.5i Limited,24998.0
112,16004938,2013,Subaru,Legacy 3.6R Limited,19998.0
113,16032441,2017,Subaru,Outback 2.5i Premium,27998.0
114,16338915,2015,Subaru,Outback Premium,23599.0
115,16339200,2014,Subaru,XV Crosstrek Hybrid Touring,18998.0
116,16327896,2015,Toyota,Camry LE,15998.0
117,15777863,2014,Toyota,Camry SE,15998.0
118,15908361,2015,Toyota,Camry SE,16998.0
119,15915631,2016,Toyota,Camry SE,17998.0
120,16072630,2015,Toyota,Camry SE,15998.0
121,16339028,2017,Toyota,Camry SE,19599.0
122,16450984,2016,Toyota,Camry SE,18998.0
123,16450990,2015,Toyota,Camry SE,16998.0
124,16327900,2015,Toyota,Camry XLE,19599.0
125,16450668,2015,Toyota,Corolla S Plus,16998.0
126,16327514,2015,Toyota,Highlander LE PLUS,27998.0
127,16450839,2012,Toyota,Prius Three,15998.0
128,16005319,2015,Toyota,Prius Two,16998.0
129,16327893,2015,Toyota,Prius Two,17998.0
130,16440033,2015,Toyota,Prius Two,15998.0
131,16450949,2015,Toyota,Prius c Four,16998.0
132,16238236,2015,Toyota,Prius c Two,15998.0
133,16450969,2015,Toyota,RAV4 Limited,21599.0
134,16238660,2015,Toyota,Sienna Limited Premium,35998.0
135,15778059,2016,Toyota,Tacoma TRD Sport,28998.0
136,16450788,2013,Toyota,Tacoma,15998.0
137,15574654,2014,Volkswagen,CC R-Line,17998.0
138,16238199,2015,Volkswagen,CC R-Line,15998.0
139,16238196,2015,Volkswagen,CC Sport,15998.0
140,16238200,2015,Volkswagen,CC Sport,17599.0
141,16250397,2013,Volkswagen,GTI 2.0T,15998.0
142,15326126,2016,Volkswagen,Jetta S,12998.0
143,15908962,2017,Volkswagen,Passat R-Line,19998.0
144,16171144,2013,Volvo,S60 T5 Premier,15998.0
145,15982305,2017,Volvo,XC60 T5 Inscription,26998.0
146,16424417,2013,Volvo,XC60 T6,21998.0
147,16339300,2011,Acura,MDX,19998.0
148,15908836,2015,Acura,RDX,23998.0
149,16451073,2016,Acura,RDX,26998.0
150,16338536,2012,Acura,TSX,13599.0
151,16338664,2007,Acura,TSX,10599.0
152,16339099,2014,Audi,A5 Premium,21998.0
153,16339024,2018,Audi,A5 Prestige,44998.0
154,16237644,2015,BMW,328 I,22998.0
155,16005697,2011,BMW,335 XI,15998.0
156,16238004,2015,BMW,528 I,24998.0
157,15777903,2014,BMW,535 dxi,28998.0
158,16339125,2014,BMW,X1 SDrive28i,18998.0
159,16005479,2016,BMW,X5 Plug In Hybrid XDrive40e,43998.0
160,16450625,2015,Buick,LaCrosse Leather,19998.0
161,16450740,2015,Buick,Verano,14998.0
162,16451015,2015,Cadillac,ATS,19998.0
163,16423952,2015,Cadillac,CTS Luxury,25998.0
164,16498146,2018,Cadillac,XT5 Luxury,34998.0
165,16597134,2017,Cadillac,XT5 Luxury,34998.0
166,16004840,2016,Chevrolet,Colorado LT,29998.0
167,16338685,2015,Chevrolet,Colorado LT,29998.0
168,16005559,2017,Chevrolet,Colorado Work Truck,19599.0
169,16450762,2017,Chevrolet,Colorado Work Truck,18998.0
170,16451017,2017,Chevrolet,Colorado Work Truck,18998.0
171,16004678,2014,Chevrolet,Cruze LT,11599.0
172,16451011,2015,Chevrolet,Cruze LT,13998.0
173,16496733,2018,Chevrolet,Equinox Premier,23998.0
174,15777885,2012,Chevrolet,Malibu LS,9998.0
175,16005566,2015,Chevrolet,Malibu LS,12998.0
176,16005569,2015,Chevrolet,Malibu LS,13998.0
177,16451094,2015,Chevrolet,Malibu LS,13998.0
178,15573815,2015,Chevrolet,Malibu LT,13599.0
179,16450523,2017,Chevrolet,Malibu LT,18998.0
